Year,Month,Sector,Issued,Refused,Withdrawn,Prefix
2012,Jun,Agriculture & Fisheries,13.0,8.0,0.0,
2012,Jun,Catering,21.0,51.0,2.0,
2012,Jun,Education,0.0,1.0,0.0,
2012,Jun,Entertainment,2.0,0.0,0.0,
2012,Jun,Industry,95.0,5.0,4.0,
2012,Jun,Medical & Nursing,29.0,8.0,1.0,
2012,Jun,Service Industry,170.0,71.0,2.0,
2012,Jun,Sport,7.0,1.0,0.0,
2012,Jul,Agriculture & Fisheries,23.0,3.0,2.0,
2012,Jul,Catering,26.0,15.0,46.0,
2012,Jul,Domestic,1.0,2.0,2.0,
2012,Jul,Education,5.0,1.0,1.0,
2012,Jul,Entertainment,0.0,1.0,13.0,
2012,Jul,Industry,88.0,7.0,14.0,
2012,Jul,Medical & Nursing,34.0,8.0,6.0,
2012,Jul,Service Industry,242.0,28.0,71.0,
2012,Jul,Sport,7.0,1.0,0.0,
2012,Aug,Agriculture & Fisheries,11.0,5.0,0.0,
2012,Aug,Catering,12.0,15.0,1.0,
2012,Aug,Domestic,3.0,1.0,0.0,
2012,Aug,Education,8.0,2.0,0.0,
2012,Aug,Entertainment,2.0,0.0,0.0,
2012,Aug,Exchange Agreements,1.0,0.0,0.0,
2012,Aug,Industry,37.0,9.0,5.0,
2012,Aug,Medical & Nursing,59.0,3.0,2.0,
2012,Aug,Service Industry,181.0,26.0,10.0,
2012,Aug,Sport,5.0,2.0,0.0,
2012,Sep,Agriculture & Fisheries,9.0,3.0,0.0,
2012,Sep,Catering,14.0,8.0,2.0,
2012,Sep,Domestic,4.0,0.0,0.0,
2012,Sep,Education,12.0,2.0,0.0,
2012,Sep,Entertainment,3.0,0.0,0.0,
2012,Sep,Industry,73.0,3.0,2.0,
2012,Sep,Medical & Nursing,43.0,6.0,1.0,
2012,Sep,Service Industry,176.0,10.0,1.0,
2012,Sep,Sport,5.0,0.0,0.0,
2012,Oct,Agriculture & Fisheries,8.0,3.0,0.0,
2012,Oct,Catering,18.0,13.0,0.0,
2012,Oct,Domestic,2.0,2.0,0.0,
2012,Oct,Education,7.0,2.0,1.0,
2012,Oct,Entertainment,4.0,0.0,0.0,
2012,Oct,Industry,36.0,1.0,0.0,
2012,Oct,Medical & Nursing,58.0,5.0,1.0,
2012,Oct,Service Industry,160.0,18.0,3.0,
